Iteration	Posterior	Likelihood	Prior	alpha_dip	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates[101]	branch_rates[102]	branch_rates[103]	branch_rates[104]	branch_rates[105]	branch_rates[106]	branch_rates[107]	branch_rates[108]	branch_rates[109]	branch_rates[110]	branch_rates[111]	branch_rates[112]	branch_rates[113]	branch_rates[114]	branch_rates[115]	branch_rates[116]	branch_rates[117]	branch_rates[118]	branch_rates[119]	branch_rates[120]	branch_rates[121]	branch_rates[122]	branch_rates[123]	branch_rates[124]	branch_rates[125]	branch_rates[126]	branch_rates[127]	branch_rates[128]	branch_rates[129]	branch_rates[130]	branch_rates[131]	branch_rates[132]	branch_rates[133]	branch_rates[134]	branch_rates[135]	branch_rates[136]	branch_rates[137]	branch_rates[138]	branch_rates[139]	branch_rates[140]	branch_rates[141]	branch_rates[142]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	num_samp_anc	origin_time	psi	rates_dip[1]	rates_dip[2]	rates_dip[3]	rates_dip[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	turnover
0	-888504	-887567.5	-936.4989	0.02124771	0.016509	0.0256236	0.1119	0.0464681	0.0130873	0.0614477	0.00790704	0.0296758	0.0222336	0.0369952	0.00174706	0.0280545	0.0158739	0.0160376	0.00723245	0.0203216	0.0203947	0.0308948	0.0150948	0.0599579	0.0440805	0.0559287	0.0521846	0.0368278	0.0711919	0.0251815	0.00285397	0.0380289	0.0142157	0.0584031	0.0439293	0.00134342	0.0170072	0.0835374	0.0364188	0.0581792	0.0102214	0.0170813	0.0269154	0.0822579	0.00631753	0.0253348	0.00559399	0.0239651	0.0502124	0.00797478	0.00723017	0.00499562	0.0355719	0.0574332	0.028872	0.00939878	0.0143957	0.0346769	0.0058785	0.0264862	0.0357178	0.0515217	0.0351578	0.038185	0.000135842	0.00643127	0.0249423	0.0542046	0.0147178	0.00271923	0.0346742	0.0427137	0.0129666	0.0396214	0.00358189	0.0270198	0.014617	0.0206777	0.0509825	0.00470945	0.0227126	0.0260198	0.00245017	0.0507124	0.0265186	0.0234796	0.00504725	0.0381857	0.0397295	0.0723756	0.0492928	0.0512552	0.00407865	0.000492808	0.115448	0.0382904	0.0150053	0.0139844	0.0252433	0.0130521	0.0337963	0.00759964	0.0282048	0.036167	0.00454902	0.0224645	0.0342764	0.094966	0.0327791	0.0215866	0.00890659	0.0226485	0.0057234	0.0036341	0.0262247	0.0495397	0.00203151	0.0119178	0.0179339	0.0272678	0.0343989	0.00197306	0.0389094	0.0594051	0.0616579	0.026595	0.0563673	0.133447	0.0266151	0.0170695	0.0206872	0.035018	0.0158857	0.0967779	0.0105144	0.00576622	0.0118213	0.0473073	0.00412142	0.018573	0.0574537	0.00858653	0.0241761	0.00221143	0.0255992	0.0235685	0.03043295	-0.1540308	0.475987	0.000979597	0.181105	0.317572	0.0145444	0.00981332	0.1713313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.5651	0.04723157	2.5847e-29	7.60475e-15	2.21165e-06	4	0.174549	0.114846	0.339	0.371605	0.01730048	5.34	33.97	48	40	33.97	4.5	5.34	20.4	47	16	43.96	15	45	9.903268
10	-502850.3	-502693.9	-156.3405	0.1820145	0.00173836	0.00167757	0.00398837	0.00405268	0.00268647	0.00795726	0.00278709	0.00236316	0.00182174	0.00140959	0.00200865	0.00155876	0.00334245	0.0024881	0.00312512	0.00222516	0.00311839	0.0175498	0.00114688	0.00600898	0.00127525	0.00203336	0.00172612	0.00221325	0.0041528	0.00543279	9.67993e-05	0.00369581	0.00375434	0.00359599	0.00536366	0.000171873	0.0110541	0.00886306	0.00132501	0.00894126	0.000350828	0.00195259	0.00346056	0.00122277	0.000460501	0.00101892	0.000697206	0.0015749	0.00333459	0.00086785	0.000460088	0.000439707	0.00107332	0.00505787	0.00216803	0.00149358	0.00151366	0.00347615	0.00034387	0.000935745	0.01774	0.0028704	0.003516	0.00397256	4.10576e-05	0.00331584	0.00047637	0.0160841	0.00112387	0.000415688	0.00596107	0.00522849	0.00212426	0.00163927	0.00114288	0.00119075	0.000650642	0.000500084	0.000509989	0.000224574	0.00147545	0.00126368	0.000246768	0.00497741	0.00136902	0.00442815	0.000528934	0.0103251	0.00468099	0.00472767	0.00303779	0.00819684	0.000286239	4.42493e-05	0.00644399	0.00105422	0.000264082	0.00108706	0.0009003	0.00135387	0.00126887	0.000626915	0.000410507	0.000717005	0.00024273	0.000684152	0.00170178	0.00283894	0.001456	0.00312917	0.00416417	0.00099977	0.000641559	0.000437757	0.000884924	0.00212127	0.00091008	8.16649e-05	0.000504984	0.00171338	0.0056539	0.000343629	0.00209891	0.00165298	0.00296905	0.00925562	0.0041152	0.00986306	0.00327049	0.00806125	0.00578736	0.00211283	0.00219317	0.00958185	0.00292333	0.000757652	0.00568955	0.000777496	0.00181133	0.00117066	0.0122256	0.000534787	0.0166246	0.00050385	0.00497024	0.00222992	0.006675799	0.02239475	0.414016	0.00544553	0.179112	0.333976	0.0465169	0.0209333	0.03559869	0	0	0	0	0	0	0	0	0	0	0	0	0	2	127.9702	0.02709705	0.000268455	0.0240864	0.335118	3.64053	0.23211	0.140901	0.240571	0.386418	0.05799344	5.34	33.97	48	40	33.97	5.5109	5.34	20.4	47	16	43.96	15	45	0.61384
20	-457145.8	-457101.2	-44.64321	0.6869737	0.00205656	0.00239636	0.00374137	0.00763338	0.0111498	0.0139077	0.0146384	0.0058844	0.00326666	0.00277372	0.00377703	0.00270899	0.00505658	0.00470225	0.00776203	0.00501472	0.00567012	0.0378288	0.00227917	0.0056394	0.00201314	0.00354563	0.00340146	0.00552282	0.00473326	0.00932169	0.00014388	0.00981732	0.00631624	0.00518103	0.0113814	0.00636786	0.00384362	0.0130956	0.0106104	0.0132612	0.000631572	0.0120109	0.00938947	0.00113291	0.00218411	0.00147593	0.00297652	0.00260834	0.00284687	0.00076631	0.000981914	0.00164716	0.000925071	0.0191324	0.000531331	0.00242837	0.00240438	0.00560926	0.00380402	0.00159595	0.00888975	0.00763554	0.0172785	0.00571244	0.000143344	0.00415319	0.000880438	0.00377482	0.00166176	0.000748402	0.012737	0.00818926	0.00276162	0.00226092	0.00344886	0.00191883	0.00139948	0.000484088	0.000640091	0.000247131	0.00323096	0.00231929	0.000182138	0.00459188	0.00412917	0.011793	0.000548225	0.0104255	0.00208564	0.00254665	0.00146951	0.00333627	0.00102609	6.0825e-05	0.00620432	0.00181288	9.2789e-05	0.00110618	0.000409904	0.00325226	0.00389666	0.00112561	0.000356129	0.000877903	0.000310937	0.00038682	0.00122592	0.00264252	0.00170151	0.00502641	0.00999224	0.00117305	0.00112856	0.00137742	7.77861e-05	0.00511479	0.00274216	4.65523e-05	0.00018011	0.00103991	0.0126338	0.00139961	0.00881656	0.00138914	0.00508051	0.0161182	0.00941902	0.0105613	0.00527179	0.0116964	0.0066506	0.00394225	0.00285014	0.0158908	0.0109114	0.00267226	0.00982304	0.000600276	0.00745251	0.00252126	0.0157076	0.000558126	0.0291727	0.00335513	0.0101019	0.00773455	0.004613629	0.03761602	0.24732	0.015225	0.141353	0.385615	0.143074	0.067413	0.002931946	0	0	0	0	0	0	0	0	0	0	0	0	0	2	132.6428	0.004053466	0.0714083	0.357319	0.919944	2.65133	0.281583	0.133551	0.244172	0.340694	0.04054797	5.34	33.97	48	40	33.97	5.5109	5.34	20.5319	47	19.0591	43.96	15	45	0.07230809
30	-428770.5	-428772.4	1.981146	1.137293	0.00141315	0.00207205	0.00336337	0.00568946	0.00970432	0.00828485	0.013645	0.00513782	0.00265245	0.00223248	0.00280459	0.00207993	0.00398523	0.00436485	0.00848451	0.00369303	0.00438585	0.0236235	0.00189984	0.00424589	0.0016888	0.00316459	0.00558163	0.00446212	0.00474015	0.00875682	0.00011647	0.00425224	0.00676783	0.00505509	0.00661216	0.00922885	0.00185945	0.0110669	0.00916064	0.00360286	0.000583777	0.0106552	0.013897	0.000649599	0.00185332	0.00106414	0.00268981	0.00244813	0.00252009	0.000902481	0.000903022	0.00131708	0.00084844	0.00391347	0.000474418	0.00171329	0.00186908	0.00449382	0.00496327	0.00127668	0.00866864	0.00564914	0.000846019	0.0056095	0.000360986	0.0032837	0.00328912	0.00468031	0.00154281	0.000980951	0.00948842	0.00922596	0.00230908	0.0019767	0.00242404	0.00186917	0.00165448	0.000262981	0.000774157	2.70714e-05	0.00314807	0.00288027	9.16224e-05	0.00297075	0.00450293	0.00760495	0.000136789	0.00783909	0.000856302	0.0029022	0.00095879	0.00108392	0.00143751	2.4661e-05	0.00274943	0.00158477	8.92561e-05	0.000992208	0.000396448	0.00363653	0.00495843	0.00103722	0.000204696	0.00101746	0.000153085	0.000380855	0.00238752	0.00780596	0.00144617	0.0044431	0.00809801	0.00098645	0.000692934	0.00102552	0.000113186	0.00436493	0.00225065	3.12897e-05	0.000150947	0.000548957	0.0106813	0.00195099	0.00769251	0.00124441	0.00375291	0.013282	0.00624534	0.00818548	0.00504941	0.00884125	0.00528797	0.00348813	0.00183143	0.0203957	0.0122229	0.00319979	0.0096881	0.000432193	0.00583818	0.00180013	0.0152611	0.000365026	0.0290555	0.0092084	0.0142141	0.00248668	0.004146539	0.05001071	0.17009	0.100951	0.126289	0.169164	0.367484	0.0660219	0.002444287	0	0	0	0	0	0	0	0	0	0	0	0	0	1	135.4679	0.001393159	0.163505	0.514457	1.01948	2.30255	0.286181	0.127219	0.254907	0.331693	0.05245499	5.34	33.97	48	40	33.97	5.5109	5.34	20.5319	47	19.0591	43.96	15	45	0.0465978
40	-424827.3	-424834.4	7.130579	1.218235	0.00140166	0.0019968	0.00294544	0.00559973	0.0102456	0.0101838	0.0158564	0.00496727	0.00287787	0.00243657	0.00316592	0.00222991	0.00440752	0.00411405	0.00792975	0.00372503	0.00497451	0.0182691	0.00180369	0.00451427	0.0018964	0.00311015	0.00127555	0.00446182	0.00452185	0.0093351	0.000142365	0.00372938	0.00657241	0.00461294	0.00730931	0.0097766	0.00387557	0.0109968	0.00964714	0.00362304	0.000559028	0.0122614	0.0142648	0.000673478	0.00200485	0.00114701	0.00230957	0.00257329	0.00274802	0.000288192	0.000912736	0.00167764	0.000868708	0.003053	0.000465456	0.00190071	0.00188143	0.00474522	0.00448887	0.0013516	0.00253858	0.00884515	0.000430288	0.00438867	0.00136787	0.00264768	0.00443311	0.00314587	0.00164255	0.000941756	0.0103888	0.00914796	0.00224832	0.00235733	0.00271089	0.00173858	0.00123766	0.000257507	0.000891289	2.153e-05	0.00222139	0.00460635	0.000119801	0.00299023	0.00595758	0.0123574	0.000382886	0.00720479	0.000304457	0.00107126	0.00077453	0.00108421	0.00121572	5.62447e-05	0.00189872	0.00178161	8.27399e-05	0.00100793	0.000273834	0.00347007	0.00531989	0.0011217	0.000212765	0.00106229	0.000142836	0.000246041	0.00359138	0.00292292	0.00133391	0.00471925	0.00790128	0.000979727	0.000727505	0.00103114	9.31648e-05	0.00447275	0.00245571	3.38819e-05	0.000127924	0.000176077	0.0110485	0.00163819	0.00808389	0.0013404	0.00389762	0.0129958	0.00634144	0.00921047	0.00536396	0.00872024	0.00542408	0.00354263	0.00166905	0.0240228	0.0103993	0.00337372	0.00962322	0.000336371	0.00600912	0.00161441	0.0187968	0.000356622	0.0364796	0.0133987	0.016066	0.00286289	0.004817904	0.05077987	0.152724	0.212162	0.115331	0.115429	0.321668	0.0826853	0.001897975	0	0	0	0	0	0	0	0	0	0	0	0	0	3	136.1998	0.0007305529	0.178342	0.533781	1.02848	2.2594	0.286432	0.157298	0.224916	0.331354	0.05267784	5.34	33.97	48.7289	40	33.97	5.5109	5.34	20.5319	47	19.0591	43.96	15	45	0.03602986
50	-424391.2	-424393.1	1.855829	1.193102	0.00130641	0.00193241	0.00304461	0.00560615	0.00977415	0.00888089	0.0144077	0.00516972	0.00295481	0.00234349	0.00286924	0.002225	0.00413172	0.00440957	0.0086242	0.0034145	0.00489019	0.0174348	0.00165213	0.00451794	0.00180375	0.00287591	0.00225617	0.00423401	0.00452452	0.00925031	0.00019766	0.00502395	0.00701791	0.00443066	0.00651304	0.00909781	0.00418185	0.0112564	0.00940209	0.00913637	0.000558929	0.0108415	0.0162706	0.000672746	0.00199778	0.00115136	0.00230252	0.00219866	0.00246123	3.06425e-05	0.000917268	0.00157192	0.000796734	0.00985044	0.000465089	0.00174387	0.00199634	0.00474216	0.00293919	0.00131539	0.000622035	0.00330456	0.00308585	0.0050047	0.00275775	0.00195639	0.00202437	0.00151425	0.00150269	0.00100286	0.00989959	0.008789	0.00233034	0.00241658	0.00256453	0.00156448	0.00103338	0.000242396	0.000493482	2.05306e-05	0.00206984	0.00341734	0.000149667	0.00234257	0.00331969	0.0327665	0.000468661	0.0074889	0.000470608	0.000937478	0.000808792	0.001171	0.00108958	1.10505e-05	0.00252303	0.00167499	4.60311e-05	0.00100783	0.000279928	0.00384682	0.00520567	0.00106594	0.000237635	0.00115713	0.000117973	0.000285335	0.0030821	0.00582694	0.0015414	0.00443373	0.00836236	0.000729854	0.000777594	0.00107741	9.96644e-05	0.00313832	0.0021317	4.06821e-05	7.0393e-05	0.00017228	0.0113341	0.00139516	0.0083587	0.0011764	0.00429106	0.0133713	0.00581825	0.00863158	0.00538396	0.00868966	0.00564791	0.00387002	0.000879742	0.0227272	0.011885	0.00297843	0.0133671	0.000367299	0.00597256	0.0017123	0.0165694	0.000470929	0.040272	0.0192777	0.0157385	0.0018467	0.00448488	0.05145838	0.140435	0.240083	0.10967	0.114286	0.295785	0.099742	0.003278166	0	0	0	0	0	0	0	0	0	0	0	0	0	3	134.9363	0.000796572	0.173801	0.527984	1.02585	2.27236	0.286791	0.160734	0.200774	0.3517	0.05473655	5.34	33.97	48.7289	40	33.97	5.5109	5.34	20.6911	47	19.0591	43.96	15	45	0.0598899
60	-424327.6	-424326.3	-1.381491	1.155267	0.0013126	0.00199449	0.00322673	0.00549146	0.0100598	0.00986345	0.0166035	0.00492263	0.00283086	0.00260442	0.00272519	0.00219863	0.00421576	0.00440141	0.00800223	0.00375275	0.00497873	0.0155073	0.00155256	0.00460884	0.00177323	0.00314653	0.00129268	0.0044516	0.00473884	0.00897154	0.000224024	0.00330684	0.00664934	0.00523124	0.0067513	0.00953325	0.00251694	0.011067	0.0100016	0.00499443	0.000592543	0.0118956	0.0152618	0.000724609	0.00184454	0.00129411	0.00244109	0.0024325	0.00130128	1.6789e-05	0.000927325	0.0018205	0.000846619	0.0199018	0.000464949	0.00173649	0.00210683	0.00452265	0.00189069	0.00117585	0.000335751	0.0034799	0.00530236	0.00551085	0.00831258	0.00181691	0.00116574	0.000947121	0.00167013	0.000935631	0.00954568	0.0096383	0.00212327	0.00246425	0.00270563	0.00170964	0.00181297	0.000245553	0.00148679	4.22106e-05	0.00137995	0.00391105	0.000637527	0.00369824	0.00367079	0.0291319	0.000308071	0.00728295	0.000743121	0.000375719	0.000704789	0.00114325	0.00121704	2.40621e-05	0.00140937	0.00182911	3.29803e-05	0.00114298	0.000303719	0.00365493	0.0044626	0.00111434	0.000194638	0.00134674	0.000116738	0.000382937	0.0028706	0.00574814	0.00158442	0.00484991	0.00701851	0.00084322	0.000834102	0.00109103	8.89204e-05	0.00297873	0.00227374	4.28303e-05	0.000260315	0.000124229	0.0109066	0.00165597	0.00830485	0.00116617	0.00442554	0.0117772	0.00654044	0.00770751	0.00536745	0.00818375	0.0058947	0.00411309	0.00174463	0.0233725	0.0105929	0.00281593	0.0143804	0.000322754	0.00616679	0.00187672	0.0157095	0.000409843	0.0414417	0.0200297	0.017017	0.000462565	0.005355864	0.04442746	0.132068	0.246856	0.112764	0.11751	0.288245	0.102556	0.01597681	0	0	0	0	0	0	0	0	0	0	0	0	0	1	139.1245	0.0006387727	0.166853	0.518916	1.02162	2.29261	0.286791	0.160734	0.200774	0.3517	0.06040427	5.34	33.97	48.7289	40	33.97	5.59072	5.34	20.6911	47	19.0591	43.96	15	45	0.264498
70	-424314.6	-424316.1	1.473718	1.200544	0.00126512	0.00201482	0.00316627	0.00546051	0.00966037	0.0112877	0.0151932	0.00482688	0.00270842	0.00237476	0.002934	0.00220097	0.004452	0.00390349	0.00822203	0.00382944	0.00526668	0.0262812	0.00141188	0.00437038	0.00176457	0.00288473	0.00116883	0.00429253	0.00507503	0.00875727	0.000243329	0.00108769	0.00664431	0.00518002	0.00635961	0.00882148	0.00421389	0.0108528	0.00905471	0.00194651	0.000576427	0.0107638	0.0156148	0.000711375	0.00186068	0.00111577	0.00270539	0.00255613	0.00131645	9.57685e-05	0.000988862	0.00145016	0.000909741	0.0141597	0.000482369	0.00180701	0.00196283	0.00483684	0.0024847	0.00154134	0.000946695	0.00226927	0.00766438	0.00503541	0.00735646	0.00133935	0.00125405	0.000558087	0.00148094	0.000942069	0.00927845	0.00876683	0.00206719	0.002346	0.0025172	0.00185025	0.00336477	0.000305016	0.00324946	4.44236e-05	0.00220216	0.00333363	0.000596554	0.00253547	0.00411906	0.0242044	0.000752319	0.00812372	0.000557582	0.000257588	0.000610875	0.000959601	0.00126881	1.5084e-05	0.00302079	0.00183491	2.25862e-05	0.00110575	0.00038381	0.0046751	0.00483989	0.00107045	0.000168667	0.00137132	9.24151e-05	0.000421106	0.00158781	0.00651133	0.00082643	0.00454223	0.00811809	0.000833241	0.000718245	0.00106871	0.00010099	0.00270871	0.00209683	5.79653e-05	0.000317536	9.21431e-05	0.0105994	0.00171665	0.0080679	0.00120981	0.00516504	0.0115871	0.00835673	0.00737979	0.00535027	0.00849508	0.00532756	0.00431403	0.00129357	0.0176888	0.0105973	0.00323875	0.013779	0.000451023	0.00643465	0.00171277	0.0163659	0.000482175	0.0399522	0.0195589	0.0168442	0.00089156	0.004620151	0.04728531	0.132297	0.247151	0.112899	0.121398	0.288589	0.0976659	0.02280255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138.097	0.0007778476	0.175152	0.529719	1.02664	2.26848	0.287343	0.161043	0.199238	0.352377	0.07008786	5.34	33.97	48.7289	40	33.97	8.57012	5.34	20.6911	47	19.215	43.96	15	45	0.3253423
80	-424290.6	-424297.1	6.409148	1.18675	0.00116474	0.00194562	0.0031259	0.00542513	0.010053	0.0119786	0.0167298	0.00523336	0.00277951	0.00234988	0.00290182	0.00222835	0.00439087	0.0042001	0.00780214	0.00368464	0.00461078	0.00888929	0.00123143	0.00461637	0.00176688	0.00289951	0.00539595	0.00422247	0.00464354	0.00985627	0.000240342	0.000939445	0.00621058	0.00516357	0.00606048	0.00826381	0.00738576	0.0102109	0.00981229	0.00156967	0.000561703	0.0102241	0.0157702	0.000673587	0.00169143	0.00102991	0.00239885	0.00261945	0.00102201	0.000729545	0.000976895	0.00164958	0.000813747	0.00975209	0.000485208	0.00169475	0.00185973	0.00472756	0.00172522	0.00153727	0.000548692	0.00191342	0.00706555	0.00497934	0.00782784	0.00153335	0.00351951	0.000361365	0.00154681	0.000911307	0.0097406	0.00903502	0.00211168	0.00224985	0.0025317	0.0017193	0.00357441	0.000318632	0.00216142	2.60708e-05	0.00311224	0.00368909	0.000373564	0.00671667	0.0033408	0.0194999	0.000455835	0.00872509	0.00455613	0.00101182	0.00056765	0.000928839	0.00123208	2.65996e-05	0.00563876	0.00182675	2.90051e-05	0.00137843	0.000349997	0.00420546	0.00485035	0.00115233	0.000162949	0.00121876	0.000107359	0.000413666	0.00122609	0.00344933	0.000969741	0.00465157	0.0057843	0.00124676	0.000593862	0.00104709	9.84296e-05	0.00219914	0.0019007	6.26042e-05	0.000162834	4.23969e-05	0.0102321	0.00177758	0.00770083	0.00124161	0.0052941	0.0121479	0.00735932	0.00748437	0.00542944	0.00868444	0.00526265	0.00420275	0.00130134	0.0241653	0.010146	0.00340816	0.013726	0.000202602	0.00621449	0.00175197	0.0152695	0.000435365	0.0387751	0.0195298	0.0169837	0.000524707	0.004325623	0.03940524	0.132297	0.247151	0.112899	0.121398	0.288589	0.0976659	0.03418853	0	0	0	0	0	0	0	0	0	0	0	0	0	1	137.0323	0.0007762584	0.172644	0.526491	1.02516	2.2757	0.287343	0.161043	0.199238	0.352377	0.07359377	5.34	33.97	48.7289	40	33.97	8.03903	5.34	20.6911	47	19.215	43.96	15	45	0.4645574
90	-424308	-424308.8	0.8518065	1.170472	0.00116478	0.00206483	0.00305272	0.00529568	0.0104245	0.00984142	0.0173816	0.00491722	0.00278677	0.00221647	0.0030591	0.00214738	0.00449003	0.00429432	0.00788765	0.00388836	0.00473707	0.010015	0.0014616	0.00448519	0.00183013	0.00311622	0.00500906	0.00458877	0.00471251	0.00984739	0.00017709	0.00145733	0.00589675	0.00466772	0.00637499	0.00782072	0.00791644	0.0108411	0.0101467	0.00155456	0.000536534	0.0104147	0.0152133	0.0006633	0.00152852	0.00117122	0.00230177	0.00241829	0.00114437	0.00173961	0.000969225	0.00160664	0.000847457	0.00392851	0.000474967	0.00180971	0.00182436	0.00453448	0.00165699	0.00183883	0.00154678	0.00431475	0.0121254	0.0047857	0.007264	0.00164123	0.00662486	0.000738605	0.00151028	0.000996088	0.00935486	0.00911963	0.00205995	0.00206915	0.00269935	0.00193169	0.00207127	0.000266739	0.000878054	4.99282e-05	0.00178748	0.00431554	8.14959e-05	0.00850956	0.00372121	0.023109	0.000114084	0.00833277	0.00129293	0.00097517	0.000801223	0.00073534	0.00119807	2.76732e-05	0.00327047	0.00184566	4.84428e-05	0.0012908	0.000357648	0.00421841	0.00424877	0.00106469	0.000207085	0.0013192	9.82001e-05	0.000293037	0.00251064	0.00592012	0.000930864	0.00476373	0.00646937	0.00112767	0.000342979	0.0010685	0.000111488	0.00362653	0.00213132	4.62902e-05	0.000125426	7.07491e-05	0.0100218	0.00173822	0.00811373	0.00128959	0.00503452	0.0104609	0.00683569	0.00699501	0.00537225	0.00862233	0.00518764	0.00418997	0.0012566	0.0218556	0.0116123	0.00299876	0.0119372	0.000662191	0.0059343	0.00171481	0.0146274	0.000534514	0.038665	0.018435	0.0176537	0.000858427	0.004255364	0.03659194	0.130938	0.247195	0.112919	0.12142	0.288641	0.0988868	0.02890593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140.0674	0.0007806757	0.169661	0.522611	1.02336	2.28437	0.286029	0.16134	0.199605	0.353026	0.06549787	5.67218	33.97	48.7289	41.6912	33.97	10.4924	5.34	20.6911	47	18.3185	43.96	15	45	0.4413263
